actiongeocountrycode,eventbasecode,No_events,Tone,Goldstein,yearmonth
AA,010,1,0.31201248049922,0.0,192001
AA,010,9,1.5773359635910134,0.0,202001
AA,010,9,1.5770131434326367,0.0,202002
AA,012,1,2.78931750741839,-0.4,202001
AA,012,3,0.2945202945202934,-0.4000000000000001,202002
AA,013,1,1.28755364806866,0.4,202001
AA,013,2,-2.6882696635042547,0.4,202002
AA,015,1,9.23076923076924,0.0,202002
AA,017,1,2.12355212355212,0.0,202002
AA,020,10,1.279633679474775,3.0,202001
AA,020,12,1.5617302472867152,3.0,202002
AA,023,1,3.82244143033292,3.4,202001
AA,030,3,1.768231768231767,4.0,202002
AA,031,2,1.763920169292195,5.2,202002
AA,036,22,3.7649050076421005,4.0,202001
AA,036,3,-3.0244167337600767,4.0,202002
AA,040,7,-0.5429902689120842,1.0,202001
AA,040,10,0.27162746114240893,1.0,202002
AA,042,1,2.97619047619048,1.9,192001
AA,042,10,-0.423728218547127,1.9,202001
AA,042,23,1.438975512455167,1.9,202002
AA,043,9,-1.00657179656977,2.8,202001
AA,043,22,0.4356794608537891,2.8,202002
AA,046,2,2.57142857142857,7.0,202001
AA,051,4,2.772626789342525,3.4,202001
AA,051,11,3.616492518045543,3.4,202002
AA,057,2,-2.33281493001556,8.0,202001
AA,060,1,0.31201248049922,6.0,192001
AA,060,1,-9.09090909090907,6.0,202001
AA,060,1,-2.82828282828283,6.0,202002
AA,061,2,2.18642117376294,6.4,202002
AA,070,2,1.36004139749946,7.0,202001
AA,071,1,3.50109409190372,7.4,202002
AA,080,2,1.4640308024775899,5.0,202001
AA,080,1,11.8055555555556,5.0,202002
AA,084,3,2.3358932807252435,7.0,202002
AA,090,3,-2.3477091736477305,-2.0,202001
AA,090,7,-0.3329865285681736,-2.0,202002
AA,100,1,1.3993213993214,-5.0,202002
AA,111,4,0.9937731473758,-2.0,202001
AA,111,4,1.419866687951615,-2.0,202002
AA,112,1,-9.09090909090907,-2.0,202001
AA,120,4,-2.4544429248072452,-4.0,202001
AA,122,1,-3.19148936170213,-4.0,202001
AA,141,3,-1.0221465076661,-6.5,202002
AA,160,1,6.06060606060606,-4.0,202001
AA,172,1,6.31868131868131,-5.0,202001
AA,173,1,-0.89571337172105,-5.0,202001
AA,182,1,-7.99136069114471,-9.5,202002
AA,190,2,-4.11565511852044,-10.0,202001
AA,190,5,-2.725508275932112,-10.0,202002
AA,193,2,1.875,-10.0,202002
AC,010,2,-1.70346160428433,0.0,192001
AC,010,32,0.7539780089204707,0.0,202001
AC,010,16,-1.4777942040563918,0.0,202002
AC,012,2,-0.021929824561404,-0.4,202001
AC,012,2,-6.7542936830258995,-0.4,202002
AC,013,2,-1.48148148148148,0.4,192001
AC,013,10,-0.7441718350131817,0.4,202001
AC,013,4,-1.5771490394549275,0.4,202002
AC,014,5,0.08732446283387203,0.0,202002
AC,015,6,-7.579333857854704,0.0,202001
AC,015,4,-4.054784737808612,0.0,202002
